employee_id,department,trip_purpose,trip_start_date,trip_end_date,origin,destination,travel_mode,provider_name,service_class,flight_legs,distance_traveled,invoice_amount_usd
EMP00000,Engineering,Client Meeting,1/13/2025,1/18/2025,Atlanta,Atlanta,Air,United,Economy,1,1154.89,438.72
EMP00001,Sales,Conference,10/30/2025,11/6/2025,New York,San Francisco,Air,Delta,Economy,2,591.13,447.78
EMP00002,Finance,Training,10/15/2025,10/19/2025,Tampa,New York,Air,Southwest,Economy,1,1816.04,604.01
EMP00003,Engineering,Conference,6/24/2025,6/29/2025,Chicago,Tampa,Bus,Intercity Bus,Standard,0,1365.21,109.22
EMP00004,Operations,Training,7/14/2025,7/16/2025,Tampa,Atlanta,Air,American Airlines,Business,1,344.93,236.23
EMP00005,Finance,Client Meeting,10/2/2025,10/4/2025,San Francisco,Chicago,Bus,Intercity Bus,Standard,0,2605.22,208.42
EMP00006,Sales,Client Meeting,10/23/2025,10/27/2025,Atlanta,New York,Road,Enterprise,Standard,0,1823.29,911.64
EMP00007,Finance,Training,2/10/2025,2/14/2025,Dallas,Atlanta,Road,Uber,Standard,0,2138.81,1069.4
EMP00008,Engineering,Training,3/25/2025,3/31/2025,Atlanta,Atlanta,Road,Lyft,Standard,0,110.72,55.36
EMP00009,Finance,Internal Meeting,11/8/2025,11/11/2025,Chicago,Atlanta,Air,United,Economy,2,2911.23,1027.81
EMP00010,Engineering,Client Meeting,12/17/2025,12/23/2025,Chicago,Dallas,Rail,Amtrak,Standard,0,2818.73,281.87
EMP00011,HR,Conference,2/3/2025,2/7/2025,Atlanta,Dallas,Road,Enterprise,Standard,0,52.3,26.15
EMP00012,Engineering,Training,11/26/2025,12/4/2025,New York,New York,Bus,Intercity Bus,Standard,0,2977.02,238.16
EMP00013,Finance,Training,10/27/2025,11/3/2025,New York,New York,Road,Enterprise,Standard,0,1871.57,935.78
EMP00014,Sales,Conference,2/16/2025,2/17/2025,Atlanta,New York,Bus,Intercity Bus,Standard,0,1854.38,148.35
EMP00015,Finance,Internal Meeting,11/2/2025,11/4/2025,San Francisco,Dallas,Bus,Intercity Bus,Standard,0,70.85,5.67
EMP00016,Sales,Training,10/11/2025,10/12/2025,Atlanta,Chicago,Road,Enterprise,Standard,0,118.03,59.02
EMP00017,Sales,Training,5/31/2025,6/7/2025,San Francisco,New York,Air,United,Business,1,1598.09,549.52
EMP00018,HR,Conference,11/17/2025,11/22/2025,San Francisco,San Francisco,Air,United,Economy,2,461.51,415.38
EMP00019,Sales,Training,11/3/2025,11/9/2025,Chicago,New York,Air,Southwest,Economy,1,2922.58,880.64
EMP00020,Finance,Client Meeting,5/4/2025,5/14/2025,San Francisco,New York,Air,Delta,Economy,1,1395.41,498.85
EMP00021,HR,Internal Meeting,12/4/2025,12/12/2025,New York,San Francisco,Rail,Amtrak,Standard,0,1874.24,187.42
EMP00022,HR,Internal Meeting,1/1/2026,1/6/2026,San Francisco,Dallas,Rail,Amtrak,Business,0,1178.26,117.83
EMP00023,Sales,Conference,5/7/2025,5/11/2025,San Francisco,New York,Air,Delta,Business,1,2950.53,887.63
