shipment_id,carrier_name,carrier_type,mode_of_transport,origin,destination,delivery_datetime,distance_traveled,idle_time,shipment_weight_lb,shipment_volume_cuft,fuel_consumed_gallons,electricity_kwh,invoice_amount_usd
SHP000000,UPS,LTL,Road,San Francisco,New York,2025-02-22 21:47:00,480.72,5.72,7360.14,299.73,80.12,0.0,131.29
SHP000001,FedEx,0,Ocean,Tampa,New York,2025-02-17 06:14:00,1670.14,5.43,2794.3,433.22,334.03,0.0,64.08
SHP000002,FedEx,0,Rail,Miami,New York,2025-08-18 18:17:00,1161.78,5.96,1313.09,484.99,34.85,0.0,68.59
SHP000003,Schneider,0,Rail,Miami,Chicago,2025-05-23 04:13:00,1531.91,2.49,7682.09,92.52,45.96,0.0,138.05
SHP000004,FedEx,LTL,Road,Miami,Tampa,2025-06-26 19:16:00,399.88,3.27,4404.66,146.32,66.65,0.0,92.03
SHP000005,Schneider,0,Ocean,New York,San Francisco,2025-02-10 17:18:00,5088.9,5.07,12039.71,183.81,1017.78,0.0,212.87
SHP000006,J.B. Hunt,0,Rail,New York,Tampa,2025-12-05 07:49:00,929.71,6.5,8387.11,257.6,27.89,0.0,113.58
SHP000007,Schneider,LTL,Road,New York,San Francisco,2025-11-22 11:10:00,731.28,0.52,6134.32,86.09,121.88,0.0,149.1
SHP000008,UPS,0,Air,Dallas,Miami,2025-05-17 22:59:00,475.64,3.82,38642.47,404.39,47.56,0.0,891.76
SHP000009,XPO Logistics,0,Rail,Dallas,New York,2025-08-25 12:17:00,687.38,1.68,27527.2,220.64,20.62,0.0,254.59
SHP000010,J.B. Hunt,0,Air,Tampa,Chicago,2025-01-17 10:25:00,629.5,2.23,1858.35,454.75,62.95,0.0,194.54
SHP000011,DHL,LTL,Road,Atlanta,New York,2025-07-22 20:29:00,347.6,4.06,3220.35,260.51,57.93,0.0,73.92
SHP000012,C.H. Robinson,0,Air,Chicago,New York,2025-10-15 17:16:00,1776.12,1.15,38798.59,387.79,177.61,0.0,1220.0
SHP000013,UPS,0,Ocean,Atlanta,New York,2025-03-12 16:31:00,7546.24,21.69,24117.05,461.02,1509.25,0.0,346.97
SHP000014,UPS,LTL,Road,Chicago,Miami,2025-12-15 13:38:00,151.77,1.38,595.49,163.34,0.0,227.66,24.17
SHP000015,FedEx,0,Ocean,Miami,San Francisco,2025-08-28 16:16:00,3415.08,7.97,33235.13,179.02,683.02,0.0,268.63
SHP000016,J.B. Hunt,FTL,Road,Atlanta,Tampa,2025-03-22 14:00:00,373.07,3.37,6066.51,401.3,62.18,0.0,90.51
SHP000017,XPO Logistics,0,Rail,New York,Boston,2025-11-17 09:53:00,319.28,7.91,31003.67,100.16,9.58,0.0,263.99
SHP000018,FedEx,0,Rail,Atlanta,Boston,2025-03-24 17:49:00,208.84,6.71,28420.87,364.77,6.27,0.0,237.81
SHP000019,J.B. Hunt,0,Air,Boston,Tampa,2025-02-27 11:56:00,2382.43,0.76,14659.4,58.82,238.24,0.0,888.8
SHP000020,Old Dominion,0,Rail,Tampa,Chicago,2025-10-18 02:05:00,1580.97,5.36,13570.47,32.72,47.43,0.0,187.61
SHP000021,C.H. Robinson,LTL,Road,Chicago,Miami,2025-10-09 05:16:00,407.63,2.12,7336.62,319.14,67.94,0.0,122.28
SHP000022,Schneider,0,Rail,Dallas,Miami,2025-06-09 12:42:00,1619.54,4.31,5223.97,356.91,48.59,0.0,122.77
SHP000023,Schneider,0,Ocean,Boston,Tampa,2025-05-07 07:04:00,6205.89,14.35,30953.2,247.4,1241.18,0.0,340.94
SHP000024,UPS,LTL,Road,Dallas,Tampa,2025-11-20 01:14:00,651.14,2.71,400.38,54.84,0.0,976.71,82.14
SHP000025,DHL,FTL,Road,New York,Atlanta,2025-12-09 15:13:00,86.14,3.91,12917.06,254.78,14.36,0.0,136.06
