trip_id,supplier_location,destination_facility,carrier_name,carrier_type,mode_of_transport,delivery_datetime,idle_time_minutes,fuel_consumed_gallons,fuel_type,electricity_kwh,shipment_weight_lb,shipment_volume_ctf,pallets_packages,distance_traveled,invoice_amount_usd
TRIP00000,Los Angeles,Tampa,DHL,,Air,5/6/2025,111.46,115.49,Jet Fuel,0,19019.21,73.47,29,1154.89,1247.83
TRIP00001,Atlanta,Atlanta,XPO Logistics,,Air,2/14/2025,112.19,136.52,Jet Fuel,0,2089.5,46.47,21,1365.21,934.39
TRIP00002,New York,Chicago,FedEx,,Air,2/17/2025,169.55,213.88,Jet Fuel,0,509.63,97.02,12,2138.81,1199.6
TRIP00003,Atlanta,Atlanta,XPO Logistics,,Air,4/12/2025,99.21,5.23,Jet Fuel,0,19845.01,62.13,26,52.3,683.05
TRIP00004,Los Angeles,Los Angeles,UPS,,Sea,8/18/2025,17.93,264.85,Heavy Fuel Oil,0,5895.46,61.57,10,1324.24,880.03
TRIP00005,New York,Dallas,UPS,,Air,12/24/2025,75.02,292.26,Jet Fuel,0,4732.15,9.97,19,2922.58,1745.93
TRIP00006,Chicago,Dallas,UPS,,Rail,4/21/2025,38.99,88.52,Diesel,0,9388.58,86.13,7,2950.53,1733.04
TRIP00007,Dallas,Tampa,Maersk,,Air,2/19/2025,75.52,24.19,Jet Fuel,0,18982.82,96.6,18,241.9,680.61
TRIP00008,Dallas,Dallas,FedEx,,Rail,8/24/2025,30.75,2.91,Diesel,0,4694.79,24.86,28,97.1,422.45
TRIP00009,New York,Tampa,FedEx,,Sea,10/10/2025,40.98,302.15,Heavy Fuel Oil,0,784.33,91.02,4,1510.77,811.07
TRIP00010,Dallas,Los Angeles,XPO Logistics,,Rail,4/9/2025,41.43,68.35,Diesel,0,8560.6,21.59,4,2278.32,1350.37
TRIP00011,Los Angeles,Tampa,UPS,,Air,5/29/2025,111.64,291.03,Jet Fuel,0,15525.14,94.01,4,2910.27,1805.64
TRIP00012,Tampa,Atlanta,Maersk,,Air,5/23/2025,173.4,276.95,Jet Fuel,0,1861,20.4,25,2769.53,1671.99
TRIP00013,Chicago,Los Angeles,UPS,,Rail,7/9/2025,70.65,76.24,Diesel,0,14971.67,54.43,24,2541.37,1810.12
TRIP00014,Dallas,Atlanta,FedEx,,Rail,11/8/2025,38.1,26.36,Diesel,0,10899.65,14.95,15,878.76,807.37
TRIP00015,Los Angeles,Atlanta,UPS,FTL,Road,7/14/2025,10.94,16.02,CNG,0,8525.69,40.09,8,96.13,298.58
TRIP00016,Los Angeles,New York,DHL,LTL,Road,4/28/2025,113.01,409.27,Gasoline,0,14166.46,73.17,1,2455.61,1521.13
TRIP00017,Chicago,Dallas,UPS,,Air,10/18/2025,115.96,278.26,Jet Fuel,0,13056.43,91.58,9,2782.59,1742.42
TRIP00018,Los Angeles,Dallas,Maersk,FTL,Road,11/26/2025,123.21,171.03,Gasoline,0,1364.81,31.79,24,1026.15,780.37
TRIP00019,Atlanta,Atlanta,XPO Logistics,,Rail,8/8/2025,30.33,53.83,Diesel,0,5566.96,56.56,3,1794.33,1038.5
TRIP00020,New York,Chicago,UPS,,Rail,3/12/2025,93.95,64.62,Diesel,0,15239.62,56.57,14,2154.07,1521.83
TRIP00021,New York,Chicago,FedEx,,Air,2/26/2025,44.29,159.21,Jet Fuel,0,8608.07,3.52,13,1592.06,1098.19
TRIP00022,Atlanta,Los Angeles,Maersk,LTL,Road,7/17/2025,164.29,448.75,Gasoline,0,9559.87,56.76,4,2692.5,1577.45
TRIP00023,New York,Dallas,FedEx,,Air,12/16/2025,170.29,78.54,Jet Fuel,0,8266.62,75.8,4,785.41,598.04
TRIP00024,New York,Dallas,FedEx,,Rail,5/31/2025,147.38,54.5,Diesel,0,13926.22,88.17,10,1816.65,1286.85
TRIP00025,Chicago,Atlanta,FedEx,,Sea,5/15/2025,80.81,383.71,Heavy Fuel Oil,0,17442.07,80.56,12,1918.54,1428.11
TRIP00026,New York,Atlanta,DHL,,Air,11/24/2025,64.06,265.57,Jet Fuel,0,6554.47,13.09,25,2655.68,1708.93
TRIP00027,New York,New York,UPS,FTL,Road,3/24/2025,69.94,62.44,CNG,0,4635.91,43.28,20,374.65,480.04
TRIP00028,Tampa,New York,Maersk,,Rail,1/10/2025,127.71,28.47,Diesel,0,3376.65,53.87,5,949.1,592.08
TRIP00029,Tampa,Dallas,UPS,,Rail,1/30/2025,129.51,25.34,Diesel,0,4958.1,17.66,24,844.77,761.55
TRIP00030,Atlanta,New York,FedEx,,Air,9/6/2025,94.53,112.27,Jet Fuel,0,19438.46,96.28,7,1122.71,1020.12
TRIP00031,Tampa,New York,UPS,FTL,Road,10/9/2025,176.02,0,Electric,1406.38,5768.33,4.65,17,937.59,754.16
TRIP00032,New York,New York,UPS,,Sea,10/4/2025,50.73,252.51,Heavy Fuel Oil,0,757.71,35.16,1,1262.56,656.43
TRIP00033,Los Angeles,Los Angeles,DHL,FTL,Road,12/10/2025,124.26,79.57,Gasoline,0,9840.11,98.58,23,477.44,665.52
TRIP00034,New York,Chicago,UPS,,Air,4/26/2025,89.95,229.68,Jet Fuel,0,4828.99,73.09,24,2296.78,1484.97
TRIP00035,Tampa,Dallas,XPO Logistics,,Air,10/11/2025,152,295.11,Jet Fuel,0,8036.61,81.83,16,2951.1,1796.28
TRIP00036,Atlanta,New York,FedEx,LTL,Road,12/29/2025,65.41,166.05,Diesel,0,3811.72,5.04,20,996.3,774.38
TRIP00037,Tampa,Tampa,FedEx,,Rail,9/21/2025,119.68,20.99,Diesel,0,14251.88,81.14,20,699.71,834.89
TRIP00038,Atlanta,Dallas,UPS,,Sea,10/4/2025,152.41,112.88,Heavy Fuel Oil,0,13849.66,39.29,18,564.38,739.18
TRIP00039,Atlanta,Los Angeles,UPS,,Sea,8/31/2025,53.85,408.66,Heavy Fuel Oil,0,14730.8,21.7,10,2043.29,1416.26
TRIP00040,Chicago,Atlanta,FedEx,,Air,12/4/2025,54.34,199.7,Jet Fuel,0,16362.72,55.96,28,1996.95,1605.73
